sortby,weekday,time,jamp,tablename,VD,direct,road,position,city,district,newdirect
0,5,1,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,2,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,3,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,4,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,5,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,6,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,7,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,8,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,9,0.1064,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,10,0.1064,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,11,0.1064,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,12,0.1064,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,13,0.0851,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,14,0.1064,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,15,0.2766,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,16,0.3617,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,17,0.4043,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,18,0.8085,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,19,0.8511,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,20,0.2979,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,21,0.1064,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,22,0.0426,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,23,0.0213,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,0,0.0426,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,1,0.0213,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,2,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,3,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,4,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,5,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,6,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,7,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,8,0.0213,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,9,0.0213,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,10,0.0213,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,11,0.0213,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,12,0.0426,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,13,0.0426,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,14,0.0426,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,15,0.0213,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,16,0.1277,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,17,0.234,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,18,0.5957,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,19,0.3404,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,20,0.1915,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,21,0.0426,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,22,0.0426,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,6,23,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
1,0,0,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,1,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,2,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,3,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
1,0,4,0.0,EVQKWL60,VQKWL60,E,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
